Geography,own_gt30pct,own_gt50pct,rent_gt30pct,rent_gt50pct,filler
Phoenix MSA,0.216828072,0.091825976,0.448404233,0.214619285,1
Maricopa County,0.217334237,0.092294352,0.450567822,0.215652927,1
Pinal County,0.212320806,0.087655209,0.409812147,0.196182139,1
Apache Junction,0.228001166,0.098120629,0.450747808,0.227178958,1
Avondale,0.218294638,0.09433173,0.456414193,0.201125896,1
Buckeye,0.231944249,0.073208503,0.32405226,0.127436282,1
Carefree,0.180715585,0.178896301,0.489614243,0,1
Cave Creek,0.29679803,0.176929392,0.238410596,0.07615894,1
Chandler,0.176544106,0.07098583,0.411816165,0.18752148,1
El Mirage,0.201756998,0.06774866,0.4714809,0.2281528,1
Florence,0.167515733,0.035061432,0.449480642,0.306893296,1
Fountain Hills,0.219878555,0.087994034,0.346108258,0.143421573,1
Gila Bend,0.114551084,0.068111455,0.427152318,0.149006623,1
Gilbert,0.179650238,0.067820891,0.41955573,0.176335017,1
Glendale,0.215887056,0.086428898,0.490856384,0.251225922,1
Goodyear,0.218835443,0.087594937,0.400935227,0.179771389,1
Guadalupe,0.278879813,0.137689615,0.44198895,0.255248619,1
Litchfield Park,0.267028628,0.114017769,0.469635628,0.336032389,1
Maricopa,0.208875094,0.055951682,0.464448793,0.204174821,1
Mesa,0.209306737,0.086328076,0.491226078,0.239096485,1
Paradise Valley,0.243877961,0.15355279,0.397297297,0.137837838,1
Peoria,0.205072038,0.082652093,0.503479222,0.245821682,1
Phoenix,0.230544706,0.095970468,0.454832817,0.216591488,1
Queen Creek,0.231508079,0.138150808,0.390286717,0.126974839,1
Scottsdale,0.242170125,0.121627986,0.369427405,0.180016939,1
Surprise,0.204100981,0.081613305,0.45042735,0.173076923,1
Tempe,0.189228383,0.079252664,0.450184417,0.237344398,1
Tolleson,0.144736842,0.105263158,0.41005291,0.122574956,1
Wickenburg,0.229189996,0.128779395,0.446073298,0.255497382,1
Youngtown,0.254852321,0.134177215,0.601071975,0.287136294,1
